                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4785,                 3.7922,                  4.096,                      0,                      0,                      0,                      0,                 4.0551,                 4.2589,                 4.1382,             0.00032479,             0.00032479,             0.00032479
                      2,                 2.3361,                 2.5352,                 3.3965,                      0,                      0,                      0,                      0,                 3.8713,                 4.0204,                 4.0758,             0.00065551,             0.00065551,             0.00065551
                      3,                  1.982,                  2.152,                 2.8172,                0.58349,                0.14393,                0.09458,                0.05569,                 2.2432,                 2.5814,                 3.0297,              0.0009836,              0.0009836,              0.0009836
                      4,                  1.813,                 1.9918,                 2.5556,                0.43772,                0.19189,                0.15106,                0.08947,                 1.5799,                 1.8828,                 2.4807,             0.00098812,             0.00098812,             0.00098812
                      5,                 1.5957,                 1.8427,                 2.3209,                0.28608,                0.30421,                0.19075,                0.13069,                 1.2032,                 1.5359,                 2.1175,             0.00098812,             0.00098812,             0.00098812
                      6,                 1.4448,                 1.7173,                  2.137,                0.23578,                0.43352,                 0.2382,                0.17204,                 1.0603,                 1.5987,                  1.918,             0.00098416,             0.00098416,             0.00098416
                      7,                 1.3222,                 1.5783,                 1.9663,                0.44366,                0.45919,                0.33255,                0.24561,                 0.9278,                  1.324,                 1.8139,              0.0009802,              0.0009802,              0.0009802
                      8,                 1.2105,                 1.3854,                 1.8251,                0.30176,                0.49303,                0.35354,                0.22343,                 1.2148,                 1.3081,                 1.9358,             0.00097624,             0.00097624,             0.00097624
                      9,                 1.2754,                 1.3936,                 1.8588,                0.42442,                0.33357,                 0.3245,                0.19897,                 1.4048,                 1.3579,                 2.3229,             0.00097228,             0.00097228,             0.00097228
                     10,                 1.2016,                 1.3787,                 1.7682,                0.47718,                0.40381,                0.33735,                0.25173,                0.91689,                  1.162,                 1.6445,             0.00096832,             0.00096832,             0.00096832
                     11,                 1.0789,                 1.2434,                 1.6323,                0.31497,                0.40569,                0.35777,                0.23022,                  1.205,                 1.1775,                 1.9878,             0.00096436,             0.00096436,             0.00096436
                     12,                 1.0777,                  1.207,                 1.6133,                0.73651,                0.38074,                0.43724,                0.33464,                0.82124,                0.94643,                 1.5184,              0.0009604,              0.0009604,              0.0009604
                     13,                 1.0231,                 1.1558,                 1.5434,                0.33131,                0.53698,                0.40409,                0.30023,                0.90356,                 1.0287,                 1.6964,             0.00095644,             0.00095644,             0.00095644
                     14,                 1.0178,                 1.1459,                 1.5361,                0.69653,                0.41873,                0.41176,                0.31131,                0.79726,                 1.0306,                 1.4272,             0.00095248,             0.00095248,             0.00095248
                     15,                0.94972,                 1.0956,                  1.474,                0.50996,                 0.5551,                0.43458,                0.33708,                0.81178,                0.99527,                 1.4475,             0.00094852,             0.00094852,             0.00094852
                     16,                0.94849,                 1.0668,                 1.4363,                0.70298,                0.44139,                0.42812,                0.33513,                0.74047,                 0.9154,                 1.3502,             0.00094456,             0.00094456,             0.00094456
                     17,                 0.9496,                 1.0415,                 1.4458,                0.70149,                0.44785,                0.44761,                0.34648,                0.77416,                0.88145,                 1.4031,              0.0009406,              0.0009406,              0.0009406
                     18,                0.89278,                0.97034,                 1.3802,                0.71526,                 0.4311,                0.44702,                 0.3617,                0.67384,                0.84459,                 1.3234,             0.00093664,             0.00093664,             0.00093664
                     19,                0.89395,                0.96952,                 1.3764,                0.75868,                0.43309,                0.48068,                0.38977,                0.68212,                0.85019,                 1.2905,             0.00093268,             0.00093268,             0.00093268
                     20,                0.89017,                0.98568,                 1.3685,                0.76738,                0.40604,                 0.4595,                0.36996,                0.73981,                 0.8462,                 1.3561,             0.00092872,             0.00092872,             0.00092872
                     21,                0.89061,                0.96565,                 1.3721,                0.77935,                0.44862,                0.48428,                0.37319,                 0.8019,                0.81665,                 1.3322,             0.00092476,             0.00092476,             0.00092476
                     22,                 0.8451,                0.91017,                 1.3164,                 0.7641,                0.45529,                0.49578,                 0.4051,                0.68614,                0.77252,                 1.2581,              0.0009208,              0.0009208,              0.0009208
                     23,                0.84805,                0.87345,                 1.3291,                0.54136,                 0.5288,                0.48755,                 0.3926,                0.68598,                0.77942,                 1.2851,             0.00091684,             0.00091684,             0.00091684
                     24,                0.82214,                0.86494,                  1.306,                0.73095,                0.43824,                0.47687,                0.38446,                 0.6526,                0.80491,                 1.2298,             0.00091288,             0.00091288,             0.00091288
                     25,                0.85898,                0.89309,                 1.3188,                 0.9076,                 0.4472,                0.54372,                0.38154,                0.65732,                0.79463,                 1.2407,             0.00090892,             0.00090892,             0.00090892
                     26,                0.82297,                0.87375,                 1.2935,                0.76829,                0.45898,                 0.4879,                0.40499,                0.63273,                0.75717,                 1.2019,             0.00090496,             0.00090496,             0.00090496
                     27,                0.80724,                0.85372,                 1.2611,                0.46002,                0.48509,                0.49651,                0.40541,                0.66602,                0.77055,                 1.2362,               0.000901,               0.000901,               0.000901
                     28,                0.80562,                0.82221,                  1.265,                0.72264,                0.42022,                0.43047,                0.34805,                0.70713,                 0.8379,                 1.2756,             0.00089704,             0.00089704,             0.00089704
                     29,                0.81388,                0.84648,                 1.2647,                0.63963,                0.52169,                0.51267,                0.42725,                0.62214,                0.69522,                 1.1841,             0.00089308,             0.00089308,             0.00089308
                     30,                0.79086,                0.82148,                 1.2534,                0.77551,                0.43624,                0.49775,                0.39861,                0.72362,                0.76212,                 1.2543,             0.00088912,             0.00088912,             0.00088912
                     31,                0.78177,                0.84344,                  1.249,                0.46351,                0.49902,                0.50506,                0.42112,                0.65884,                0.74197,                 1.2225,             0.00088516,             0.00088516,             0.00088516
                     32,                0.77602,                0.80834,                 1.2421,                0.97156,                0.47568,                0.63945,                0.50913,                0.61463,                0.68529,                 1.1753,              0.0008812,              0.0008812,              0.0008812
                     33,                0.76364,                0.81124,                 1.2355,                0.96775,                0.46936,                0.64907,                 0.5039,                0.59641,                0.70131,                 1.1493,             0.00087724,             0.00087724,             0.00087724
                     34,                0.76057,                0.77211,                 1.2266,                0.68825,                 0.5282,                0.63785,                0.50207,                0.62725,                0.67942,                 1.1912,             0.00087328,             0.00087328,             0.00087328
                     35,                0.75409,                0.78465,                 1.2093,                0.66091,                0.52122,                0.65404,                0.48071,                0.62362,                0.67387,                  1.164,             0.00086932,             0.00086932,             0.00086932
                     36,                0.75098,                0.74298,                 1.2157,                0.82391,                0.53407,                0.64787,                0.50795,                0.62928,                0.69117,                 1.1929,             0.00086536,             0.00086536,             0.00086536
                     37,                0.77493,                 0.7726,                 1.2338,                0.80022,                0.49812,                0.62363,                0.49121,                0.59976,                0.66766,                 1.1604,              0.0008614,              0.0008614,              0.0008614
                     38,                0.74225,                0.74478,                  1.204,                0.61586,                0.50999,                0.58079,                0.43735,                0.63493,                0.71526,                 1.1852,             0.00085744,             0.00085744,             0.00085744
                     39,                0.73621,                0.75894,                 1.1929,                0.65518,                0.52404,                0.54545,                0.45185,                0.61225,                0.67919,                 1.1617,             0.00085348,             0.00085348,             0.00085348
                     40,                0.73439,                0.74913,                 1.2037,                0.49519,                0.54713,                0.51294,                0.42613,                0.60057,                0.68382,                 1.1358,             0.00084952,             0.00084952,             0.00084952
